"","Rk","Season","Conf","W","L","W-L%","SRS","SOS","PFPG","PAPG","AP Pre","AP High","AP Final","NCAA Tournament","Coach(es)","team_name","missing"
"1","1","2018","Big West","7","13",".350","-2.62","2.94","70.4","71.1","","","","","Russ Turner (7-13)","california-irvine",FALSE
"2","2","2017","Big West","21","15",".583","0.18","-2.70","69.8","64.8","","","","","Russ Turner (21-15)","california-irvine",FALSE
"3","3","2016","Big West","28","10",".737","5.33","0.77","71.2","66.1","","","","","Russ Turner (28-10)","california-irvine",FALSE
"4","4","2015","Big West","21","13",".618","3.63","0.45","67.5","62.1","","","","Lost Second Round","Russ Turner (21-13)","california-irvine",FALSE
"5","5","2014","Big West","23","12",".657","4.35","-0.65","70.5","63.7","","","","","Russ Turner (23-12)","california-irvine",FALSE
"6","6","2013","Big West","21","16",".568","0.17","-0.66","69.1","65.4","","","","","Russ Turner (21-16)","california-irvine",FALSE
"7","7","2012","Big West","12","20",".375","-6.07","-1.24","68.1","72.2","","","","","Russ Turner (12-20)","california-irvine",FALSE
"8","8","2011","Big West","13","19",".406","-3.78","-2.36","75.3","75.6","","","","","Russ Turner (13-19)","california-irvine",FALSE
"9","9","2010","Big West","14","18",".438","-7.49","-3.75","67.6","69.6","","","","","Pat Douglass (14-18)","california-irvine",FALSE
"10","10","2009","Big West","12","19",".387","-5.80","-1.80","65.4","68.8","","","","","Pat Douglass (12-19)","california-irvine",FALSE
"11","11","2008","Big West","18","16",".529","-1.20","-2.41","68.0","65.8","","","","","Pat Douglass (18-16)","california-irvine",FALSE
"12","12","2007","Big West","15","18",".455","-3.77","-1.43","66.2","67.0","","","","","Pat Douglass (15-18)","california-irvine",FALSE
"13","13","2006","Big West","16","13",".552","2.45","-1.87","71.3","67.8","","","","","Pat Douglass (16-13)","california-irvine",FALSE
"14","14","2005","Big West","16","13",".552","-2.80","-1.80","68.7","67.7","","","","","Pat Douglass (16-13)","california-irvine",FALSE
"15","15","2004","Big West","11","17",".393","-3.33","-0.10","63.6","66.1","","","","","Pat Douglass (11-17)","california-irvine",FALSE
"16","16","2003","Big West","20","9",".690","2.07","-1.65","70.0","64.0","","","","","Pat Douglass (20-9)","california-irvine",FALSE
"17","17","2002","Big West","21","11",".656","3.44","-0.19","69.4","65.3","","","","","Pat Douglass (21-11)","california-irvine",FALSE
"18","18","2001","Big West","25","5",".833","2.12","-2.58","70.3","64.3","","","","","Pat Douglass (25-5)","california-irvine",FALSE
"19","19","2000","Big West","14","14",".500","-3.51","-0.77","67.0","67.6","","","","","Pat Douglass (14-14)","california-irvine",FALSE
"20","20","1999","Big West","6","20",".231","-8.42","-1.63","65.1","70.0","","","","","Pat Douglass (6-20)","california-irvine",FALSE
"21","21","1998","Big West","9","18",".333","-7.87","0.49","62.3","69.5","","","","","Pat Douglass (9-18)","california-irvine",FALSE
"22","22","1997","Big West","1","25",".038","-20.14","1.09","58.2","79.5","","","","","Rod Baker (1-25)","california-irvine",FALSE
"23","23","1996","Big West","15","12",".556","0.63","-1.44","75.0","73.0","","","","","Rod Baker (15-12)","california-irvine",FALSE
"24","24","1995","Big West","13","16",".448","-0.16","3.09","76.7","79.4","","","","","Rod Baker (13-16)","california-irvine",FALSE
"25","25","1994","Big West","10","20",".333","-4.67","0.43","79.0","83.0","","","","","Rod Baker (10-20)","california-irvine",FALSE
"26","26","1993","Big West","6","21",".222","-3.78","2.91","73.1","78.3","","","","","Rod Baker (6-21)","california-irvine",FALSE
"27","27","1992","Big West","7","22",".241","-3.38","4.17","68.3","75.8","","","","","Rod Baker (7-22)","california-irvine",FALSE
"28","28","1991","Big West","11","19",".367","-3.45","4.08","84.4","92.0","","","","","Bill Mulligan (11-19)","california-irvine",FALSE
"29","29","1990","Big West","5","23",".179","-3.86","5.04","71.7","80.6","","","","","Bill Mulligan (5-23)","california-irvine",FALSE
"30","30","1989","Big West","12","17",".414","-1.77","3.03","81.6","86.3","","","","","Bill Mulligan (12-17)","california-irvine",FALSE
"31","31","1988","PCAA","16","14",".533","3.38","5.74","82.4","84.8","","","","","Bill Mulligan (16-14)","california-irvine",FALSE
"32","32","1987","PCAA","14","14",".500","3.66","4.69","86.6","87.7","","","","","Bill Mulligan (14-14)","california-irvine",FALSE
"33","33","1986","PCAA","17","13",".567","3.40","2.57","77.5","75.2","","","","","Bill Mulligan (17-13)","california-irvine",FALSE
"34","34","1985","PCAA","13","17",".433","-3.37","-0.69","75.9","77.4","","","","","Bill Mulligan (13-17)","california-irvine",FALSE
"35","35","1984","PCAA","19","10",".655","5.78","2.26","77.7","74.0","","","","","Bill Mulligan (19-10)","california-irvine",FALSE
"36","36","1983","PCAA","16","12",".571","2.61","3.30","","","","","","","Bill Mulligan (16-12)","california-irvine",FALSE
"37","37","1982","PCAA","23","7",".767","7.22","1.55","77.0","67.8","","","","","Bill Mulligan (23-7)","california-irvine",FALSE
"38","38","1981","PCAA","17","10",".630","2.94","-0.64","86.4","79.3","","","","","Bill Mulligan (17-10)","california-irvine",FALSE
"39","39","1980","PCAA","9","18",".333","-7.73","-0.19","63.3","68.1","","","","","Tim Tift (9-18)","california-irvine",FALSE
"40","40","1979","PCAA","9","17",".346","-9.13","-1.66","59.6","64.7","","","","","Tim Tift (9-17)","california-irvine",FALSE
"41","41","1978","PCAA","8","17",".320","-8.03","1.13","62.6","68.6","","","","","Tim Tift (8-17)","california-irvine",FALSE
"42","1","2018","WAC","13","7",".650","-1.93","-3.93","80.2","73.7","","","","","Jim Hayford (13-7)","seattle",FALSE
"43","2","2017","WAC","13","17",".433","-8.36","-3.95","69.7","71.4","","","","","Cameron Dollar (13-17)","seattle",FALSE
"44","3","2016","WAC","15","17",".469","-9.62","-5.02","64.8","66.9","","","","","Cameron Dollar (15-17)","seattle",FALSE
"45","4","2015","WAC","18","16",".529","-5.85","-4.69","62.4","61.6","","","","","Cameron Dollar (18-16)","seattle",FALSE
"46","5","2014","WAC","13","17",".433","-5.86","-4.11","71.3","70.6","","","","","Cameron Dollar (13-17)","seattle",FALSE
"47","6","2013","WAC","8","22",".267","-4.53","-1.05","65.5","68.6","","","","","Cameron Dollar (8-22)","seattle",FALSE
"48","7","2012","Ind","12","15",".444","-4.18","-2.76","76.5","75.0","","","","","Cameron Dollar (12-15)","seattle",FALSE
"49","8","2011","Ind","11","20",".355","-9.26","-2.36","69.0","75.9","","","","","Cameron Dollar (11-20)","seattle",FALSE
"50","9","2010","Ind","17","14",".548","","","80.3","80.3","","","","","Cameron Dollar (17-14)","seattle",TRUE
"51","10","1980","WCAC","11","16",".407","-1.13","-0.26","77.6","76.2","","","","","Jack Schalow (11-16)","seattle",FALSE
"52","11","1979","WCAC","15","11",".577","5.16","2.66","80.4","76.9","","","","","Jack Schalow (15-11)","seattle",FALSE
"53","12","1978","WCAC","11","16",".407","-4.27","2.34","71.6","75.9","","","","","Bill O'Connor (11-16)","seattle",FALSE
"54","13","1977","WCAC","13","14",".481","-3.66","-0.86","73.5","74.8","","","","","Bill O'Connor (13-14)","seattle",FALSE
"55","14","1976","WCAC","11","16",".407","-2.50","3.54","74.2","80.0","","","","","Bill O'Connor (11-16)","seattle",FALSE
"56","15","1975","WCAC","8","18",".308","-1.35","1.41","68.9","71.7","","","","","Bill O'Connor (8-18)","seattle",FALSE
"57","16","1974","WCAC","15","11",".577","2.10","1.86","70.3","69.9","","","","","Bill O'Connor (15-11)","seattle",FALSE
"58","17","1973","WCAC","13","13",".500","-1.80","0.24","76.0","77.7","","","","","Bill O'Connor (13-13)","seattle",FALSE
"59","18","1972","WCAC","17","9",".654","1.40","-3.64","87.5","82.7","","","","","Morris Buckwalter (17-9)","seattle",FALSE
"60","19","1971","Ind","12","14",".462","1.42","1.77","85.8","85.9","","","","","Morris Buckwalter (12-14)","seattle",FALSE
"61","20","1970","Ind","15","10",".600","5.18","0.68","83.3","79.2","","","","","Morris Buckwalter (15-10)","seattle",FALSE
"62","21","1969","Ind","20","8",".714","6.83","-0.80","81.1","72.4","","","","Lost First Round","Morris Buckwalter (20-8)","seattle",FALSE
"63","22","1968","Ind","14","13",".519","0.88","-1.43","77.3","75.8","","","","","Morris Buckwalter (14-13)","seattle",FALSE
"64","23","1967","Ind","18","8",".692","2.50","-2.19","78.8","73.2","","","","Lost First Round","Lionel Purcell (18-8)","seattle",FALSE
"65","24","1966","Ind","16","10",".615","3.91","-0.77","84.4","80.0","","","","","Lionel Purcell (16-10)","seattle",FALSE
"66","25","1965","Ind","19","7",".731","5.27","-1.65","84.8","76.4","15","15","","","Bob Boyd (19-7)","seattle",FALSE
"67","26","1964","Ind","22","6",".786","6.97","0.34","85.3","78.6","","","","Lost Regional Semifinal","Bob Boyd (22-6)","seattle",FALSE
"68","27","1963","Ind","21","6",".778","10.35","-1.54","80.6","68.4","","10","","Lost First Round","Vincent Cazzetta (21-6)","seattle",FALSE
"69","28","1962","Ind","18","9",".667","3.58","-1.11","73.7","69.0","10","10","","Lost First Round","Vincent Cazzetta (18-9)","seattle",FALSE
"70","29","1961","Ind","18","8",".692","0.89","-1.85","72.6","68.5","","","","Lost First Round","Vincent Cazzetta (18-8)","seattle",FALSE
"71","30","1960","Ind","16","10",".615","0.50","-1.55","79.1","74.2","","","","","Vincent Cazzetta (16-10)","seattle",FALSE
"72","31","1959","Ind","21","6",".778","6.25","-2.80","78.6","68.2","","12","13","","Vincent Cazzetta (21-6)","seattle",FALSE
"73","32","1958","Ind","23","6",".793","14.12","3.91","81.3","68.6","","12","18","Lost National Final","John Castellani (23-6)","seattle",FALSE
"74","33","1957","Ind","22","3",".880","8.79","0.12","80.0","69.9","","4","5","","John Castellani (22-3)","seattle",FALSE
"75","34","1956","Ind","18","11",".621","2.20","-1.00","76.1","72.0","","","","Lost Regional Semifinal","Albert Brightman (18-11)","seattle",FALSE
"76","35","1955","Ind","22","7",".759","3.07","-3.31","78.1","63.2","","","","Lost Regional Semifinal","Albert Brightman (22-7)","seattle",FALSE
"77","36","1954","Ind","26","2",".929","10.70","-4.65","81.3","65.8","","6","17","Lost First Round","Albert Brightman (26-2)","seattle",FALSE
"78","37","1953","Ind","29","3",".906","8.03","-1.81","90.3","75.3","","11","14","Lost Regional Semifinal","Albert Brightman (29-3)","seattle",FALSE
"79","38","1952","Ind","27","8",".771","","","83.0","71.7","","16","18","","Albert Brightman (27-8)","seattle",TRUE
"80","1","2018","A-10","13","3",".813","14.20","4.38","77.1","67.3","","","","","Dan Hurley (13-3)","rhode-island",FALSE
"81","2","2017","A-10","25","10",".714","12.88","4.62","73.6","65.4","23","21","","Lost Second Round","Dan Hurley (25-10)","rhode-island",FALSE
"82","3","2016","A-10","17","15",".531","7.92","3.29","69.4","64.8","","","","","Dan Hurley (17-15)","rhode-island",FALSE
"83","4","2015","A-10","23","10",".697","9.31","2.87","67.6","60.2","","","","","Dan Hurley (23-10)","rhode-island",FALSE
"84","5","2014","A-10","14","18",".438","2.87","3.26","67.8","68.1","","","","","Dan Hurley (14-18)","rhode-island",FALSE
"85","6","2013","A-10","8","21",".276","-0.60","4.95","61.6","67.1","","","","","Dan Hurley (8-21)","rhode-island",FALSE
"86","7","2012","A-10","7","24",".226","-3.78","3.10","68.6","75.5","","","","","Jim Baron (7-24)","rhode-island",FALSE
"87","8","2011","A-10","20","14",".588","3.34","1.90","68.1","66.7","","","","","Jim Baron (20-14)","rhode-island",FALSE
"88","9","2010","A-10","26","10",".722","9.16","3.33","76.0","70.2","","","","","Jim Baron (26-10)","rhode-island",FALSE
"89","10","2009","A-10","23","11",".676","7.89","1.21","79.3","72.6","","","","","Jim Baron (23-11)","rhode-island",FALSE
"90","11","2008","A-10","21","12",".636","8.42","2.29","80.5","74.4","","22","","","Jim Baron (21-12)","rhode-island",FALSE
"91","12","2007","A-10","19","14",".576","1.54","2.32","76.1","76.0","","","","","Jim Baron (19-14)","rhode-island",FALSE
"92","13","2006","A-10","14","14",".500","0.27","1.84","63.5","65.1","","","","","Jim Baron (14-14)","rhode-island",FALSE
"93","14","2005","A-10","6","22",".214","-5.69","0.52","57.9","64.1","","","","","Jim Baron (6-22)","rhode-island",FALSE
"94","15","2004","A-10","20","14",".588","7.19","2.80","68.9","64.8","","","","","Jim Baron (20-14)","rhode-island",FALSE
"95","16","2003","A-10","19","12",".613","3.51","3.35","69.8","69.6","","","","","Jim Baron (19-12)","rhode-island",FALSE
"96","17","2002","A-10","8","20",".286","-5.52","3.66","61.8","71.0","","","","","Jim Baron (8-20)","rhode-island",FALSE
"97","18","2001","A-10","7","23",".233","-6.38","4.28","69.7","80.3","","","","","Jerry DeGregorio (7-23)","rhode-island",FALSE
"98","19","2000","A-10","5","25",".167","-8.54","5.73","62.3","76.6","","","","","Jerry DeGregorio (5-25)","rhode-island",FALSE
"99","20","1999","A-10","20","13",".606","9.52","5.59","72.0","68.0","23","23","","Lost First Round","Jim Harrick (20-13)","rhode-island",FALSE
"100","21","1998","A-10","25","9",".735","12.58","6.43","77.7","71.6","21","20","","Lost Regional Final","Jim Harrick (25-9)","rhode-island",FALSE
"101","22","1997","A-10","20","10",".667","16.50","6.40","80.7","70.6","","","","Lost First Round","Al Skinner (20-10)","rhode-island",FALSE
"102","23","1996","A-10","20","14",".588","8.85","3.53","76.4","71.1","","","","","Al Skinner (20-14)","rhode-island",FALSE
"103","24","1995","A-10","7","20",".259","1.48","6.55","70.2","75.3","","","","","Al Skinner (7-20)","rhode-island",FALSE
"104","25","1994","A-10","11","16",".407","3.80","5.55","71.4","73.1","","","","","Al Skinner (11-16)","rhode-island",FALSE
"105","26","1993","A-10","19","11",".633","9.50","6.40","77.2","74.1","","","","Lost Second Round","Al Skinner (19-11)","rhode-island",FALSE
"106","27","1992","A-10","22","10",".688","9.54","2.57","78.1","71.1","","","","","Al Skinner (22-10)","rhode-island",FALSE
"107","28","1991","A-10","11","17",".393","-1.23","3.66","74.3","77.4","","","","","Al Skinner (11-17)","rhode-island",FALSE
"108","29","1990","A-10","15","13",".536","2.38","0.50","77.8","74.0","","","","","Al Skinner (15-13)","rhode-island",FALSE
"109","30","1989","A-10","13","15",".464","-1.84","-1.21","76.7","76.8","","","","","Al Skinner (13-15)","rhode-island",FALSE
"110","31","1988","A-10","28","7",".800","9.92","0.22","86.5","76.8","","","","Lost Regional Semifinal","Thomas Penders (28-7)","rhode-island",FALSE
"111","32","1987","A-10","20","10",".667","3.90","0.75","80.7","73.8","","","","","Thomas Penders (20-10)","rhode-island",FALSE
"112","33","1986","A-10","9","19",".321","-6.21","-1.10","65.9","69.4","","","","","Brendan Malone (9-19)","rhode-island",FALSE
"113","34","1985","A-10","8","20",".286","-8.57","-1.26","63.9","68.7","","","","","Brendan Malone (8-20)","rhode-island",FALSE
"114","35","1984","A-10","6","22",".214","-6.69","-1.39","67.5","72.4","","","","","Claude English (6-22)","rhode-island",FALSE
"115","36","1983","A-10","9","19",".321","-5.11","-0.46","75.6","79.0","","","","","Claude English (9-19)","rhode-island",FALSE
"116","37","1982","EAA","10","17",".370","-0.87","-0.91","68.7","67.9","","","","","Claude English (10-17)","rhode-island",FALSE
"117","38","1981","EAA","21","8",".724","-1.13","-0.59","68.3","67.8","","","","","Claude English (20-8), Jack Kraft (1-0)","rhode-island",FALSE
"118","39","1980","ECACN","15","13",".536","1.14","-0.28","70.1","67.3","","","","","Jack Kraft (15-13)","rhode-island",FALSE
"119","40","1979","Ind","20","9",".690","7.67","-1.02","77.3","66.4","","","","","Jack Kraft (20-9)","rhode-island",FALSE
"120","41","1978","Ind","24","7",".774","5.38","-0.36","77.1","69.3","","","","Lost First Round","Jack Kraft (24-7)","rhode-island",FALSE
"121","42","1977","Ind","13","13",".500","-1.07","-0.42","71.9","72.2","","","","","Jack Kraft (13-13)","rhode-island",FALSE
"122","43","1976","Yankee","14","12",".538","-2.19","-3.35","74.1","72.3","","","","","Jack Kraft (14-12)","rhode-island",FALSE
"123","44","1975","Yankee","5","20",".200","-9.05","-2.64","69.0","74.6","","","","","Jack Kraft (5-20)","rhode-island",FALSE
"124","45","1974","Yankee","11","14",".440","-5.11","-3.55","66.5","68.1","","","","","Jack Kraft (11-14)","rhode-island",FALSE
"125","46","1973","Yankee","7","18",".280","-5.70","-3.02","77.2","80.2","","","","","Thomas Carmody (7-18)","rhode-island",FALSE
"126","47","1972","Yankee","15","11",".577","-5.44","-5.75","76.4","75.7","","","","","Thomas Carmody (15-11)","rhode-island",FALSE
"127","48","1971","Yankee","10","17",".370","-6.26","-4.71","84.9","86.5","","","","","Thomas Carmody (10-17)","rhode-island",FALSE
"128","49","1970","Yankee","16","10",".615","-2.92","-9.21","80.6","74.0","","","","","Thomas Carmody (16-10)","rhode-island",FALSE
"129","50","1969","Yankee","10","15",".400","-11.16","-7.77","73.2","76.6","","","","","Thomas Carmody (10-15)","rhode-island",FALSE
"130","51","1968","Yankee","15","11",".577","-5.25","-11.07","78.5","72.6","","","","","Ernest Calverley (15-11)","rhode-island",FALSE
"131","52","1967","Yankee","14","12",".538","2.20","-4.88","80.0","73.4","","","","","Ernest Calverley (14-12)","rhode-island",FALSE
"132","53","1966","Yankee","20","8",".714","6.66","-6.15","89.3","75.9","","","","Lost First Round","Ernest Calverley (20-8)","rhode-island",FALSE
"133","54","1965","Yankee","15","11",".577","-7.41","-9.89","83.1","79.7","","","","","Ernest Calverley (15-11)","rhode-island",FALSE
"134","55","1964","Yankee","19","8",".704","-3.47","-8.80","83.2","76.8","","","","","Ernest Calverley (19-8)","rhode-island",FALSE
"135","56","1963","Yankee","15","11",".577","-5.38","-7.88","79.4","76.6","","","","","Ernest Calverley (15-11)","rhode-island",FALSE
"136","57","1962","Yankee","14","12",".538","-15.73","-12.87","71.4","72.2","","","","","Ernest Calverley (14-12)","rhode-island",FALSE
"137","58","1961","Yankee","18","9",".667","-5.64","-2.49","77.2","70.6","","","","Lost First Round","Ernest Calverley (18-9)","rhode-island",FALSE
"138","59","1960","Yankee","12","14",".462","-13.20","-5.54","75.0","75.8","","","","","Ernest Calverley (12-14)","rhode-island",FALSE
"139","60","1959","Yankee","8","12",".400","-14.98","-2.76","","","","","","","Ernest Calverley (8-12)","rhode-island",FALSE
"140","61","1958","Yankee","4","17",".190","-21.33","-3.83","","","","","","","Ernest Calverley (4-17)","rhode-island",FALSE
"141","62","1957","Yankee","11","11",".500","-21.39","-8.19","","","","","","","Jack Guy (11-11)","rhode-island",FALSE
"142","63","1956","Yankee","11","14",".440","-17.99","-7.06","","","","","","","Jack Guy (11-14)","rhode-island",FALSE
"143","64","1955","Yankee","17","10",".630","-8.46","-4.77","","","","","","","Jack Guy (17-10)","rhode-island",FALSE
"144","65","1954","Yankee","7","14",".333","-14.04","-4.04","","","","","","","Jack Guy (7-14)","rhode-island",FALSE
"145","66","1953","Yankee","13","10",".565","-7.20","-3.28","","","","","","","Jack Guy (13-10)","rhode-island",FALSE
"146","67","1952","Yankee","10","13",".435","-8.36","-4.61","","","","","","","Robert Haire (10-13)","rhode-island",FALSE
"147","68","1951","Yankee","13","15",".464","-6.97","-3.39","","","","","","","Robert Haire (13-15)","rhode-island",FALSE
"148","69","1950","Yankee","18","8",".692","0.28","0.43","","","","","","","Robert Haire (18-8)","rhode-island",FALSE
"149","70","1949","Yankee","16","6",".727","","","71.5","56.0","","","","","Robert Haire (16-6)","rhode-island",FALSE
"150","71","1948","Yankee","17","6",".739","","","","","","","","","Frank Keaney (17-6)","rhode-island",FALSE
"151","72","1947","Yankee","17","3",".850","","","","","","","","","Frank Keaney (17-3)","rhode-island",FALSE
"152","73","1946","Yankee","21","3",".875","","","","","","","","","Frank Keaney (21-3)","rhode-island",FALSE
"153","74","1945","Ind","20","5",".800","","","","","","","","","Frank Keaney (20-5)","rhode-island",FALSE
"154","75","1944","Ind","14","6",".700","","","","","","","","","Frank Keaney (14-6)","rhode-island",FALSE
"155","76","1943","Yankee","16","3",".842","","","","","","","","","Frank Keaney (16-3)","rhode-island",FALSE
"156","77","1942","Yankee","18","4",".818","","","","","","","","","Frank Keaney (18-4)","rhode-island",FALSE
"157","78","1941","Yankee","21","4",".840","","","","","","","","","Frank Keaney (21-4)","rhode-island",FALSE
"158","79","1940","Yankee","19","3",".864","","","","","","","","","Frank Keaney (19-3)","rhode-island",FALSE
"159","80","1939","Yankee","17","4",".810","","","","","","","","","Frank Keaney (17-4)","rhode-island",FALSE
"160","81","1938","Yankee","19","2",".905","","","","","","","","","Frank Keaney (19-2)","rhode-island",FALSE
"161","82","1937","Ind","18","3",".857","","","","","","","","","Frank Keaney (18-3)","rhode-island",FALSE
"162","83","1936","Ind","13","5",".722","","","","","","","","","Frank Keaney (13-5)","rhode-island",FALSE
"163","84","1935","Ind","12","6",".667","","","","","","","","","Frank Keaney (12-6)","rhode-island",FALSE
"164","85","1934","Ind","13","3",".813","","","","","","","","","Frank Keaney (13-3)","rhode-island",FALSE
"165","86","1933","Ind","14","4",".778","","","","","","","","","Frank Keaney (14-4)","rhode-island",FALSE
"166","87","1932","Ind","13","3",".813","","","","","","","","","Frank Keaney (13-3)","rhode-island",FALSE
"167","88","1931","Ind","13","4",".765","","","","","","","","","Frank Keaney (13-4)","rhode-island",FALSE
"168","89","1930","Ind","10","5",".667","","","","","","","","","Frank Keaney (10-5)","rhode-island",FALSE
"169","90","1929","Ind","15","1",".938","","","","","","","","","Frank Keaney (15-1)","rhode-island",FALSE
"170","91","1928","Ind","15","5",".750","","","","","","","","","Frank Keaney (15-5)","rhode-island",FALSE
"171","92","1927","Ind","13","3",".813","","","","","","","","","Frank Keaney (13-3)","rhode-island",FALSE
"172","93","1926","Ind","8","8",".500","","","","","","","","","Frank Keaney (8-8)","rhode-island",FALSE
"173","94","1925","Ind","11","5",".688","","","","","","","","","Frank Keaney (11-5)","rhode-island",FALSE
"174","95","1924","Ind","9","6",".600","","","","","","","","","Frank Keaney (9-6)","rhode-island",FALSE
"175","96","1923","Ind","9","4",".692","","","","","","","","","Frank Keaney (9-4)","rhode-island",FALSE
"176","97","1922","Ind","7","8",".467","","","","","","","","","Frank Keaney (7-8)","rhode-island",FALSE
"177","98","1921","Ind","9","8",".529","","","","","","","","","Frank Keaney (9-8)","rhode-island",FALSE
"178","99","1920","Ind","3","8",".273","","","","","","","","","Fred Murray (3-8)","rhode-island",FALSE
"179","100","1919","Ind","7","1",".875","","","","","","","","","Fred Walker (7-1)","rhode-island",FALSE
"180","101","1918","Ind","3","0","1.000","","","","","","","","","James Baldwin (3-0)","rhode-island",FALSE
"181","102","1917","Ind","2","6",".250","","","","","","","","","James Baldwin (2-6)","rhode-island",FALSE
"182","103","1916","Ind","3","5",".375","","","","","","","","","George Cobb (3-5)","rhode-island",FALSE
"183","104","1913","Ind","4","3",".571","","","","","","","","","George Cobb (4-3)","rhode-island",FALSE
"184","105","1912","Ind","4","3",".571","","","","","","","","","George Cobb (4-3)","rhode-island",FALSE
"185","106","1911","Ind","5","3",".625","","","","","","","","","George Cobb (5-3)","rhode-island",FALSE
"186","107","1910","Ind","6","3",".667","","","","","","","","","George Cobb (6-3)","rhode-island",FALSE
"187","108","1909","Ind","7","2",".778","","","","","","","","","Phillip Wessels (7-2)","rhode-island",FALSE
"188","109","1908","Ind","8","8",".500","","","","","","","","","Phillip Wessels (8-8)","rhode-island",FALSE
"189","110","1907","Ind","5","0","1.000","","","","","","","","","Phillip Wessels (5-0)","rhode-island",FALSE
"190","111","1906","Ind","5","0","1.000","","","","","","","","","Phillip Wessels (5-0)","rhode-island",FALSE
"191","112","1904","Ind","1","3",".250","","","","","","","","","Unknown","rhode-island",FALSE
"192","1","2018","Patriot","12","7",".632","-7.57","-7.18","69.9","66.9","","","","","Ed DeChellis (12-7)","navy",FALSE
"193","2","2017","Patriot","16","16",".500","-4.11","-3.92","64.9","64.2","","","","","Ed DeChellis (16-16)","navy",FALSE
"194","3","2016","Patriot","19","14",".576","-4.99","-7.05","67.6","64.7","","","","","Ed DeChellis (19-14)","navy",FALSE
"195","4","2015","Patriot","13","19",".406","-7.87","-3.61","61.0","64.3","","","","","Ed DeChellis (13-19)","navy",FALSE
"196","5","2014","Patriot","9","21",".300","-11.95","-5.46","60.7","65.2","","","","","Ed DeChellis (9-21)","navy",FALSE
"197","6","2013","Patriot","8","23",".258","-11.31","-4.44","55.1","60.9","","","","","Ed DeChellis (8-23)","navy",FALSE
"198","7","2012","Patriot","3","26",".103","-14.60","-4.74","57.9","66.2","","","","","Ed DeChellis (3-26)","navy",FALSE
"199","8","2011","Patriot","11","20",".355","-10.66","-5.56","68.2","72.7","","","","","Billy Lange (11-20)","navy",FALSE
"200","9","2010","Patriot","13","17",".433","-12.01","-7.91","71.3","75.4","","","","","Billy Lange (13-17)","navy",FALSE
"201","10","2009","Patriot","19","11",".633","-5.35","-7.68","71.0","68.6","","","","","Billy Lange (19-11)","navy",FALSE
"202","11","2008","Patriot","16","14",".533","-5.88","-7.68","76.3","73.6","","","","","Billy Lange (16-14)","navy",FALSE
"203","12","2007","Patriot","14","16",".467","-7.69","-3.77","61.8","62.7","","","","","Billy Lange (14-16)","navy",FALSE
"204","13","2006","Patriot","10","18",".357","-12.60","-6.16","67.8","71.3","","","","","Billy Lange (10-18)","navy",FALSE
"205","14","2005","Patriot","9","19",".321","-12.31","-7.08","69.7","74.4","","","","","Billy Lange (9-19)","navy",FALSE
"206","15","2004","Patriot","5","23",".179","-21.66","-5.04","56.3","70.6","","","","","Don DeVoe (5-23)","navy",FALSE
"207","16","2003","Patriot","8","20",".286","-11.56","-5.21","60.8","65.1","","","","","Don DeVoe (8-20)","navy",FALSE
"208","17","2002","Patriot","10","20",".333","-8.92","-5.51","69.4","72.1","","","","","Don DeVoe (10-20)","navy",FALSE
"209","18","2001","Patriot","19","12",".613","-1.67","-5.67","75.4","70.6","","","","","Don DeVoe (19-12)","navy",FALSE
"210","19","2000","Patriot","23","6",".793","2.31","-8.17","76.0","63.7","","","","","Don DeVoe (23-6)","navy",FALSE
"211","20","1999","Patriot","20","7",".741","-0.20","-7.49","71.6","62.9","","","","","Don DeVoe (20-7)","navy",FALSE
"212","21","1998","Patriot","19","11",".633","-3.78","-7.49","71.1","64.7","","","","Lost First Round","Don DeVoe (19-11)","navy",FALSE
"213","22","1997","Patriot","20","9",".690","-3.56","-7.04","72.3","67.4","","","","Lost First Round","Don DeVoe (20-9)","navy",FALSE
"214","23","1996","Patriot","15","12",".556","-10.10","-8.18","65.6","65.3","","","","","Don DeVoe (15-12)","navy",FALSE
"215","24","1995","Patriot","20","9",".690","-3.72","-10.83","12.0","67.8","","","","","Don DeVoe (20-9)","navy",FALSE
"216","25","1994","Patriot","17","13",".567","-7.74","-8.84","74.9","73.6","","","","Lost First Round","Don DeVoe (17-13)","navy",FALSE
"217","26","1993","Patriot","8","19",".296","-13.92","-6.92","63.6","69.6","","","","","Don DeVoe (8-19)","navy",FALSE
"218","27","1992","Patriot","6","22",".214","-11.01","-5.16","73.5","78.3","","","","","Pete Herrmann (6-22)","navy",FALSE
"219","28","1991","CAA","8","21",".276","-8.71","-3.98","84.1","88.8","","","","","Pete Herrmann (8-21)","navy",FALSE
"220","29","1990","CAA","5","23",".179","-11.24","-4.67","67.9","74.5","","","","","Pete Herrmann (5-23)","navy",FALSE
"221","30","1989","CAA","6","22",".214","-12.50","-4.57","65.6","73.5","","","","","Pete Herrmann (6-22)","navy",FALSE
"222","31","1988","CAA","12","16",".429","-7.16","-3.86","66.5","69.7","","","","","Pete Herrmann (12-16)","navy",FALSE
"223","32","1987","CAA","26","6",".813","8.82","-1.44","77.3","65.8","9","9","","Lost First Round","Pete Herrmann (26-6)","navy",FALSE
"224","33","1986","CAA","30","5",".857","13.50","1.29","77.2","63.3","19","17","17","Lost Regional Final","Paul Evans (30-5)","navy",FALSE
